Tm,Year,Season,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,OeFGPerc,OTOVPerc,ORBPerc,OFTPerFGA,DeFGPerc,DTOVPerc,DRBPerc,DFTPerFGA,Arena,Attendance
MIL,2009,2008-09,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,92.6,0.306,0.208,0.483,0.131,0.278,0.239,0.503,0.156,0.74,0.315,Bradley Center,630976
MIN,2009,2008-09,24,58,27,55,-4.91,0.18,-4.74,106.1,111.4,91.6,0.289,0.227,0.481,0.133,0.277,0.222,0.515,0.12,0.75,0.254,Target Center,595013
NJN,2009,2008-09,34,48,34,48,-2.44,0.13,-2.31,108.3,111,89.9,0.303,0.265,0.497,0.127,0.252,0.236,0.509,0.13,0.735,0.272,Izod Center,621062
NOH,2009,2008-09,49,33,46,36,1.55,-0.14,1.41,108.7,107,87.8,0.288,0.24,0.501,0.125,0.246,0.232,0.496,0.132,0.749,0.23,New Orleans Arena,695727
NYK,2009,2008-09,32,50,34,48,-2.61,0.28,-2.33,108.1,110.8,96.7,0.268,0.322,0.503,0.129,0.244,0.21,0.52,0.13,0.727,0.215,Madison Square Garden (IV),790801
OKC,2009,2008-09,23,59,24,58,-6.1,0.06,-6.04,102.9,109.4,93.6,0.308,0.141,0.471,0.148,0.286,0.242,0.514,0.13,0.739,0.216,Ford Center,766868
ORL,2009,2008-09,59,23,59,23,6.7,-0.21,6.48,109.2,101.9,92.3,0.351,0.335,0.52,0.134,0.24,0.251,0.465,0.123,0.759,0.209,Amway Arena,698768
PHI,2009,2008-09,41,41,41,41,0.07,0.09,0.16,107.9,107.8,90,0.339,0.164,0.485,0.134,0.313,0.253,0.507,0.149,0.714,0.216,Wachovia Center,647898
PHO,2009,2008-09,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,96,0.336,0.216,0.545,0.144,0.277,0.25,0.511,0.128,0.717,0.233,US Airways Center,755302
POR,2009,2008-09,54,28,56,26,5.34,-0.35,5,113.9,107.8,86.6,0.306,0.239,0.511,0.125,0.326,0.234,0.499,0.132,0.75,0.227,Rose Garden Arena,841499
SAC,2009,2008-09,17,65,19,63,-8.76,0.16,-8.6,105.5,114.7,94.2,0.315,0.238,0.491,0.143,0.245,0.252,0.526,0.13,0.699,0.269,ARCO Arena (II),520169
SAS,2009,2008-09,54,28,52,30,3.76,-0.4,3.36,108.5,104.3,88.4,0.251,0.248,0.513,0.117,0.221,0.191,0.487,0.117,0.78,0.191,AT&T Center,749048
TOR,2009,2008-09,33,49,33,49,-2.82,0.28,-2.54,107,110,92,0.279,0.193,0.494,0.128,0.24,0.23,0.511,0.126,0.737,0.202,Air Canada Centre,769707
UTA,2009,2008-09,48,34,48,34,2.65,-0.34,2.31,110.1,107.3,93.1,0.355,0.169,0.504,0.136,0.282,0.274,0.505,0.15,0.727,0.262,EnergySolutions Arena,816042
WAS,2009,2008-09,19,63,21,61,-7.46,0.48,-6.98,105.4,113.6,91,0.293,0.18,0.48,0.132,0.277,0.224,0.533,0.133,0.714,0.227,Verizon Center,681119
ATL,2010,2009-10,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,90.1,0.281,0.214,0.506,0.114,0.282,0.213,0.496,0.132,0.727,0.208,Philips Arena,678375
BOS,2010,2009-10,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,91.6,0.332,0.228,0.522,0.145,0.228,0.248,0.487,0.149,0.738,0.251,TD Garden,763584
CHA,2010,2009-10,44,38,45,37,1.46,-0.17,1.3,104.4,102.8,90.4,0.346,0.211,0.49,0.151,0.265,0.26,0.491,0.147,0.742,0.194,Time Warner Cable Arena,648520
CHI,2010,2009-10,41,41,36,46,-1.63,0,-1.64,103.5,105.3,93.1,0.287,0.156,0.477,0.133,0.266,0.217,0.484,0.123,0.748,0.212,United Center,849760
CLE,2010,2009-10,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.532,0.134,0.251,0.246,0.482,0.123,0.772,0.218,Quicken Loans Arena,843042
DAL,2010,2009-10,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,92.5,0.277,0.222,0.506,0.123,0.243,0.226,0.495,0.136,0.737,0.206,American Airlines Center,819770
DEN,2010,2009-10,53,29,52,30,4.09,0.06,4.15,111.8,107.5,94.8,0.376,0.227,0.509,0.127,0.261,0.29,0.495,0.138,0.724,0.251,Pepsi Center,737301
DET,2010,2009-10,27,55,26,56,-5.11,0.09,-5.02,105.6,111.4,88.5,0.303,0.18,0.474,0.128,0.303,0.22,0.526,0.142,0.734,0.264,The Palace of Auburn Hills,768826
GSW,2010,2009-10,26,56,32,50,-3.6,0.32,-3.28,108.1,111.7,100.4,0.294,0.238,0.514,0.131,0.209,0.23,0.525,0.151,0.685,0.26,Oracle Arena,739120
HOU,2010,2009-10,42,40,40,42,-0.37,0.35,-0.02,107.6,108,94,0.292,0.265,0.494,0.132,0.269,0.225,0.511,0.136,0.738,0.215,Toyota Center,677658
IND,2010,2009-10,32,50,33,49,-3.01,-0.1,-3.11,103.7,106.8,97.1,0.296,0.278,0.491,0.138,0.216,0.229,0.49,0.134,0.73,0.258,Conseco Fieldhouse,582295
LAC,2010,2009-10,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,92.6,0.283,0.221,0.491,0.148,0.271,0.206,0.509,0.122,0.74,0.214,STAPLES Center,670063
LAL,2010,2009-10,57,25,54,28,4.72,0.06,4.78,108.8,103.7,92.8,0.289,0.227,0.496,0.124,0.276,0.221,0.484,0.132,0.744,0.195,STAPLES Center,778877
MEM,2010,2009-10,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,93.6,0.32,0.148,0.494,0.137,0.313,0.235,0.52,0.132,0.733,0.205,FedEx Forum,552914
MIA,2010,2009-10,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,89.6,0.296,0.219,0.496,0.128,0.261,0.223,0.48,0.139,0.749,0.246,AmericanAirlines Arena,726935
MIL,2010,2009-10,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,91.7,0.239,0.259,0.482,0.123,0.262,0.181,0.486,0.146,0.764,0.266,Bradley Center,619453
MIN,2010,2009-10,15,67,17,65,-9.6,0.54,-9.06,101.7,111.6,96.1,0.278,0.171,0.478,0.146,0.267,0.207,0.525,0.13,0.736,0.22,Target Center,619170
NJN,2010,2009-10,12,70,17,65,-9.12,0.19,-8.93,100.6,110.5,91.4,0.307,0.181,0.458,0.137,0.251,0.24,0.517,0.133,0.718,0.229,Izod Center,537230
NOH,2010,2009-10,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,92.6,0.243,0.23,0.506,0.127,0.248,0.189,0.523,0.135,0.738,0.205,New Orleans Arena,617366
NYK,2010,2009-10,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,94,0.256,0.312,0.509,0.13,0.235,0.2,0.526,0.133,0.721,0.207,Madison Square Garden (IV),799550
OKC,2010,2009-10,50,32,51,31,3.49,0.06,3.55,108.3,104.6,93.1,0.333,0.185,0.494,0.139,0.286,0.268,0.483,0.14,0.736,0.229,Oklahoma City Arena,738149
ORL,2010,2009-10,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,92,0.34,0.35,0.536,0.136,0.246,0.246,0.477,0.122,0.774,0.205,Amway Arena,715901
PHI,2010,2009-10,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,91.6,0.27,0.206,0.496,0.137,0.276,0.204,0.518,0.138,0.732,0.231,Wachovia Center,583219
PHO,2010,2009-10,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,95.3,0.312,0.261,0.546,0.136,0.276,0.24,0.491,0.116,0.708,0.224,US Airways Center,723582
POR,2010,2009-10,50,32,51,31,3.3,-0.13,3.18,110.8,107.1,87.7,0.315,0.215,0.499,0.121,0.282,0.249,0.502,0.133,0.748,0.219,Rose Garden Arena,840371
SAC,2010,2009-10,25,57,29,53,-4.37,0.3,-4.06,105.3,109.9,94,0.286,0.201,0.491,0.136,0.278,0.207,0.505,0.126,0.735,0.244,Power Balance Pavilion,543416
SAS,2010,2009-10,50,32,55,27,5.09,-0.02,5.07,110,104.5,91.7,0.296,0.232,0.515,0.129,0.268,0.219,0.483,0.121,0.763,0.214,AT&T Center,741676
TOR,2010,2009-10,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,93.1,0.319,0.211,0.521,0.127,0.247,0.244,0.513,0.118,0.729,0.247,Air Canada Centre,733784
UTA,2010,2009-10,53,29,55,27,5.34,-0.01,5.33,110.7,105,93.8,0.34,0.184,0.524,0.142,0.268,0.252,0.492,0.142,0.756,0.269,EnergySolutions Arena,794512
WAS,2010,2009-10,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,91.6,0.283,0.183,0.481,0.139,0.276,0.216,0.502,0.128,0.724,0.239,Verizon Center,664398
ATL,2011,2010-11,44,38,39,43,-0.82,-0.28,-1.1,106.1,107,89.3,0.269,0.222,0.501,0.135,0.234,0.209,0.495,0.123,0.746,0.211,Philips Arena,641596
BOS,2011,2010-11,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,90.4,0.305,0.18,0.519,0.145,0.211,0.235,0.469,0.148,0.747,0.235,TD Garden,763584
CHA,2011,2010-11,34,48,29,53,-4,-0.08,-4.08,103.4,107.8,89.6,0.314,0.189,0.482,0.141,0.257,0.237,0.5,0.129,0.752,0.229,Time Warner Cable Arena,649694
CHI,2011,2010-11,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,90.4,0.305,0.215,0.501,0.135,0.294,0.227,0.463,0.136,0.762,0.222,United Center,893462
CLE,2011,2010-11,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,93,0.312,0.224,0.472,0.134,0.242,0.233,0.524,0.127,0.733,0.211,Quicken Loans Arena,824595
DAL,2011,2010-11,57,25,53,29,4.23,0.18,4.41,109.7,105,91.3,0.286,0.274,0.525,0.136,0.241,0.222,0.488,0.13,0.748,0.206,American Airlines Center,824162
DEN,2011,2010-11,50,32,54,28,4.76,0.05,4.81,112.3,107.3,95.6,0.367,0.258,0.526,0.131,0.239,0.281,0.5,0.127,0.754,0.224,Pepsi Center,696568
DET,2011,2010-11,30,52,31,51,-3.6,-0.18,-3.78,107.7,111.7,89.2,0.279,0.189,0.495,0.125,0.274,0.206,0.526,0.138,0.721,0.235,The Palace of Auburn Hills,683080
GSW,2011,2010-11,36,46,35,47,-2.33,0.33,-2,108.2,110.7,94.8,0.241,0.248,0.51,0.133,0.267,0.183,0.509,0.145,0.693,0.259,Oracle Arena,766398
HOU,2011,2010-11,43,39,47,35,2.18,0.19,2.37,111.3,109,94.2,0.299,0.264,0.503,0.123,0.274,0.239,0.5,0.126,0.727,0.219,Toyota Center,663839
IND,2011,2010-11,37,45,38,44,-1.07,-0.3,-1.38,104.8,106,94.7,0.3,0.244,0.486,0.141,0.259,0.235,0.487,0.128,0.741,0.237,Conseco Fieldhouse,555077
LAC,2011,2010-11,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,92.8,0.332,0.23,0.496,0.151,0.284,0.234,0.499,0.128,0.732,0.25,STAPLES Center,727462
LAL,2011,2010-11,57,25,58,24,6.11,-0.1,6.01,111,104.3,90.7,0.293,0.22,0.502,0.123,0.292,0.228,0.477,0.128,0.723,0.181,STAPLES Center,778877
MEM,2011,2010-11,46,36,48,34,2.34,0.2,2.55,107.6,105.1,91.9,0.291,0.136,0.493,0.13,0.289,0.218,0.502,0.157,0.725,0.228,FedEx Forum,600687
MIA,2011,2010-11,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,90.9,0.363,0.235,0.524,0.135,0.252,0.279,0.475,0.126,0.755,0.223,AmericanAirlines Arena,810930
MIL,2011,2010-11,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,89.8,0.287,0.216,0.467,0.13,0.247,0.217,0.481,0.147,0.748,0.236,Bradley Center,631912
MIN,2011,2010-11,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,96.5,0.282,0.223,0.483,0.151,0.296,0.217,0.514,0.131,0.737,0.251,Target Center,624960
NJN,2011,2010-11,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,89.9,0.283,0.201,0.474,0.134,0.261,0.215,0.503,0.118,0.742,0.241,Prudential Center,581378
NOH,2011,2010-11,46,36,44,38,0.89,0.39,1.28,106.2,105.2,88.7,0.296,0.192,0.493,0.128,0.251,0.226,0.501,0.144,0.762,0.22,New Orleans Arena,603088
NYK,2011,2010-11,42,40,43,39,0.78,-0.3,0.48,110.9,110.1,95.6,0.304,0.303,0.513,0.126,0.242,0.246,0.511,0.138,0.719,0.24,Madison Square Garden (IV),808879
OKC,2011,2010-11,55,27,51,31,3.79,0.02,3.81,111.2,107.2,92.7,0.363,0.212,0.501,0.131,0.274,0.299,0.493,0.129,0.736,0.228,Chesapeake Energy Arena,744068
